year,pcepi
1959,16.2073333333333333
1960,16.4733333333333333
1961,16.6439166666666667
1962,16.8389166666666667
1963,17.0405000000000000
1964,17.2872500000000000
1965,17.5362500000000000
1966,17.9794166666666667
1967,18.4312500000000000
1968,19.1525000000000000
1969,20.0151666666666667
1970,20.9508333333333333
1971,21.8405833333333333
1972,22.5860000000000000
1973,23.8018333333333333
1974,26.2798333333333333
1975,28.4703333333333333
1976,30.0321666666666667
1977,31.9855833333333333
1978,34.2111666666666667
1979,37.2504166666666667
1980,41.2619166666666667
1981,44.9585000000000000
1982,47.4558333333333333
1983,49.4745000000000000
1984,51.3429166666666667
1985,53.1341666666666667
1986,54.2900000000000000
1987,55.9636666666666667
1988,58.1504166666666667
1989,60.6900000000000000
1990,63.3545833333333333
1991,65.4728333333333333
1992,67.2180000000000000
1993,68.8922500000000000
1994,70.3297500000000000
1995,71.8105833333333333
1996,73.3461666666666667
1997,74.6226666666666667
1998,75.2162500000000000
1999,76.3380833333333333
2000,78.2351666666666667
2001,79.7378333333333333
2002,80.7891666666666667
2003,82.3578333333333333
2004,84.4113333333333333
2005,86.8125833333333333
2006,89.1741666666666667
2007,91.4377500000000000
2008,94.1799166666666667
2009,94.0939166666666667
2010,95.7047500000000000
2011,98.1304166666666667
2012,100.0000000000000000
2013,101.3465000000000000
2014,102.8297500000000000
2015,103.0455000000000000
2016,104.0906666666666667
2017,105.9290000000000000
2018,108.1433333333333333
